winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt,champion
false,15,3209,3190,3265,0,0,3068,3340,5,1,0,0,0,0,3,8,7,124740,13446,29523,0,2761,47,64,56,8,10639,9840,0,0,0,0,6160,5073,2212,1,4,44091,64932,15715,7723,20430,1370,false,false,false,true,false,false,0,0,11,1,2,1,1,653,Skarner 
true,15,1055,3031,3046,3006,3072,0,3340,5,0,0,0,0,0,2,5,14,142859,20432,19616,644,2709,186,15,13,2,12934,12260,0,0,0,0,703,19729,0,0,0,1102,141756,0,5069,14200,346,false,false,true,false,true,false,1,8,7,1,1,1,3,84,Jinx 
true,15,3047,3190,0,3068,3207,0,3341,5,0,0,0,0,0,4,3,18,105186,14797,21853,0,0,31,69,58,11,11642,9615,0,0,0,0,11446,2714,636,4,6,59515,24901,20769,6400,14748,704,false,false,false,false,true,false,1,2,15,2,1,1,0,501,Sejuani 
false,17,3207,3190,3024,3068,3111,0,3340,5,0,0,0,0,0,2,8,25,114666,21616,38162,0,0,38,70,64,6,12269,11195,0,0,0,0,18271,3344,0,5,8,74011,23104,17549,9201,27481,1480,false,false,false,false,false,false,0,0,22,5,1,1,0,424,Sejuani 
true,15,3207,3068,0,3111,3001,0,3340,3,0,0,0,0,0,2,4,18,91216,8398,23184,0,0,39,52,47,5,11396,9300,0,0,0,0,6775,1539,84,2,5,51087,20210,19918,3359,18789,1035,false,false,false,false,false,true,0,0,16,0,1,1,0,276,Sejuani 
true,16,3211,1028,3190,3068,3207,3111,3341,5,1,0,0,0,0,4,2,18,139720,16802,30902,0,0,43,72,70,2,13328,11435,0,0,0,0,13460,2664,678,3,4,84343,28785,26591,8180,21972,750,false,false,false,false,false,true,0,0,10,1,2,1,0,588,Sejuani 
true,14,2049,3157,3092,2043,0,3020,3341,8,1,0,0,0,0,8,0,12,59931,21044,10312,0,1978,44,1,0,1,11006,8775,0,0,0,0,20235,396,412,5,6,53150,6146,634,5651,4595,66,false,false,false,true,false,true,0,0,15,3,2,1,1,281,Fiddlesticks 
false,13,3207,3111,3024,3057,0,0,3341,2,0,0,0,0,0,2,3,2,81071,5191,16616,0,0,38,54,51,3,6671,6115,0,0,0,0,3386,1308,496,3,2,48398,16279,16393,4569,11405,642,false,false,false,false,false,false,0,0,5,2,1,1,0,257,Udyr 
false,13,3207,0,3025,3009,3065,2043,3341,9,1,0,0,0,0,5,6,10,77341,11988,21999,0,0,32,51,46,5,9978,9625,0,0,0,0,6449,5141,398,5,4,42748,23717,10875,10760,10784,454,false,false,false,true,false,false,0,1,8,2,2,2,0,403,Udyr 
true,14,3207,2049,3068,0,3111,0,3341,5,0,0,0,0,0,5,1,9,78404,8292,17999,0,0,15,48,42,6,9365,7505,0,0,0,0,5697,1951,644,2,5,42325,18949,17129,5461,11867,670,false,false,false,true,false,false,0,1,16,0,1,1,0,414,Sejuani 
false,14,3206,3157,3255,0,0,0,3341,2,0,0,0,0,0,0,11,10,89142,12012,26336,0,9244,37,54,53,1,8181,7570,0,0,0,0,11612,328,72,3,3,74483,8197,6462,4236,21593,505,false,false,false,false,false,false,0,0,8,0,1,0,1,359,Fiddlesticks 
